,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_momentum,param_solver,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,split5_test_neg_mean_squared_error,split6_test_neg_mean_squared_error,split7_test_neg_mean_squared_error,split8_test_neg_mean_squared_error,split9_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_mean_squared_log_error,split1_test_neg_mean_squared_log_error,split2_test_neg_mean_squared_log_error,split3_test_neg_mean_squared_log_error,split4_test_neg_mean_squared_log_error,split5_test_neg_mean_squared_log_error,split6_test_neg_mean_squared_log_error,split7_test_neg_mean_squared_log_error,split8_test_neg_mean_squared_log_error,split9_test_neg_mean_squared_log_error,mean_test_neg_mean_squared_log_error,std_test_neg_mean_squared_log_error,rank_test_neg_mean_squared_log_error,split0_test_neg_median_absolute_error,split1_test_neg_median_absolute_error,split2_test_neg_median_absolute_error,split3_test_neg_median_absolute_error,split4_test_neg_median_absolute_error,split5_test_neg_median_absolute_error,split6_test_neg_median_absolute_error,split7_test_neg_median_absolute_error,split8_test_neg_median_absolute_error,split9_test_neg_median_absolute_error,mean_test_neg_median_absolute_error,std_test_neg_median_absolute_error,rank_test_neg_median_absolute_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,split5_test_neg_mean_absolute_error,split6_test_neg_mean_absolute_error,split7_test_neg_mean_absolute_error,split8_test_neg_mean_absolute_error,split9_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,split5_test_neg_root_mean_squared_error,split6_test_neg_root_mean_squared_error,split7_test_neg_root_mean_squared_error,split8_test_neg_root_mean_squared_error,split9_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0,3.804062032699585,0.03086493307751324,0.010210585594177247,0.000861939900919553,logistic,"(5,)",constant,0.1,1000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (5,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 1000, 'momentum': 0.5, 'solver': 'sgd'}",-0.004929208307788827,-0.004739531427777703,-0.004855470483921104,-0.004989534261513043,-0.004818397944701325,-0.004903623197329381,-0.004826206840511179,-0.004879085911639803,-0.004882235346476849,-0.004958860199261757,-0.0048782153920920975,6.942032607523034e-05,4,-0.0027570056896108444,-0.0026455154127649023,-0.002716721900500529,-0.0027864095759705075,-0.002693903070445793,-0.0027471277992397935,-0.0026948062607177583,-0.0027404285485609346,-0.00273174379177912,-0.0027708167444743066,-0.002728447879406449,3.976677172565956e-05,5,-0.031262514673513986,-0.029191372815912497,-0.03071127383618716,-0.03278562686865394,-0.029035865773864578,-0.029819892595902564,-0.0295505883196574,-0.028352536696532038,-0.029952024275354594,-0.03325599373371768,-0.030391768958929644,0.0015316826079566498,7,-0.04827150745810968,-0.047097228547466105,-0.04775735236792797,-0.04925839728299412,-0.047178832541742495,-0.04761457579614517,-0.04730216351259856,-0.04668020153250631,-0.04761972683208803,-0.04932689080186505,-0.047810687667344344,0.0008443767553192602,6,-0.07020832078741683,-0.06884425486398776,-0.06968120610265802,-0.07063663540623268,-0.06941468104588053,-0.07002587519859628,-0.06947090643219778,-0.06985045391148008,-0.06987299440038941,-0.07041917494022319,-0.06984245030890626,0.0004975207935934806,4
1,3.7988927125930787,0.04320853587815805,0.009587788581848144,0.00046774067927750064,logistic,"(5,)",constant,0.1,10000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (5,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 10000, 'momentum': 0.5, 'solver': 'sgd'}",-0.00493336253594385,-0.004739781662915123,-0.004898175813155146,-0.004982188245399478,-0.004823997210285083,-0.004894965552802768,-0.004822198016240665,-0.00486064498424665,-0.004879481467242301,-0.004967472618005585,-0.004880226810623664,6.92883247835707e-05,7,-0.0027659490408829075,-0.00264138673096669,-0.002752575242211297,-0.002786109678570434,-0.0026985965529900662,-0.002743227209230534,-0.0026906403829994982,-0.002726041843434388,-0.0027322253475881883,-0.0027753232870751346,-0.0027312075315949137,4.1920324162583954e-05,8,-0.029180883414716474,-0.03014878034622115,-0.027097157483958023,-0.030938235386308577,-0.028759760190567862,-0.029499498280267378,-0.030607711058197762,-0.029145426472846736,-0.02956016618258933,-0.03296644808554938,-0.029790406690122267,0.0014643137560111884,2,-0.04746031590339755,-0.04762450411604309,-0.0465697292404508,-0.048696776216552495,-0.0470840313421887,-0.04758503240936498,-0.04759577626592391,-0.04713024848747794,-0.04750720795530172,-0.0492302374592603,-0.047648385939596145,0.000735832355867289,4,-0.0702378995695618,-0.06884607224028923,-0.06998696888103632,-0.07058461762593517,-0.06945500133384984,-0.06996403042137272,-0.06944204789780227,-0.06971832602871823,-0.06985328530027991,-0.07048029950280847,-0.0698568548801654,0.000496625487844544,7
2,3.8343525171279906,0.11081895135192205,0.009505438804626464,0.0006846356701224775,logistic,"(5,)",constant,0.05,1000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (5,), 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 1000, 'momentum': 0.5, 'solver': 'sgd'}",-0.004924947607315796,-0.004743767374909589,-0.004855417251959695,-0.004961265592052183,-0.004815622374370777,-0.0049052554506838885,-0.004834052953520484,-0.004861249734487825,-0.004877750332963972,-0.004941964776544239,-0.004872129344880844,6.185326662110783e-05,1,-0.002755546202161067,-0.002651615781040144,-0.0027189768620381077,-0.0027818945228349516,-0.0026873305331624082,-0.00274227958186749,-0.00269974817452919,-0.002727110778313217,-0.002726439551354487,-0.0027713102652416203,-0.002726225225254268,3.752727400170665e-05,3,-0.031002980948049208,-0.028886108085123097,-0.029222628796300443,-0.030402907514594957,-0.030954414145441922,-0.03011459204945155,-0.029094058245708043,-0.02921718240723936,-0.030632366022530166,-0.030570190592453805,-0.030009742880689257,0.000780704351165708,5,-0.04810161552058537,-0.04668342533775164,-0.04740044981458516,-0.047839959646396826,-0.047787634046749676,-0.048216151695272325,-0.04712636417431333,-0.047056183767475925,-0.047985713386372586,-0.047966924452813864,-0.04761644218423167,0.0004903824531791162,1,-0.07017797095467919,-0.06887501270351672,-0.06968082413375788,-0.07043625197334241,-0.06939468549082686,-0.07003752887333968,-0.0695273539948162,-0.06972266299050708,-0.06984089298515571,-0.07029910935811519,-0.06979922934580571,0.00044376526730059923,1
3,3.817806911468506,0.09338536298796654,0.009654569625854491,0.0006095426365899527,logistic,"(5,)",constant,0.05,10000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (5,), 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 10000, 'momentum': 0.5, 'solver': 'sgd'}",-0.0049235273260606035,-0.004731422108327535,-0.00485837968888964,-0.004980207248923136,-0.004820365062663822,-0.004900697963702686,-0.004846873524611909,-0.004853099619531151,-0.004892966265362558,-0.004937448859140546,-0.004874498766721359,6.591701879541372e-05,2,-0.002756145209490171,-0.0026407255923223487,-0.0027194861467893646,-0.0027850821196519094,-0.0026852174099211224,-0.0027407905849734684,-0.0026976236184495504,-0.002717294027665711,-0.0027261092470258937,-0.0027704429285063344,-0.0027238916884795876,4.05059446282084e-05,1,-0.030664531698186726,-0.029423178981697384,-0.030753282102281787,-0.0308146322733438,-0.031686135958476025,-0.030555694410002276,-0.03163402637387458,-0.031512938719945316,-0.032102059266778504,-0.030364182961575392,-0.03095106627461618,0.0007498181675227208,9,-0.04792089317545271,-0.04714991897644868,-0.0476378800787774,-0.04862235566085619,-0.04834408764722376,-0.048178378475043165,-0.04828624028275672,-0.04767792899128113,-0.04895042680451591,-0.04779685760736227,-0.04805649676997179,0.0004995888867814237,8,-0.07016785108623894,-0.0687853335263233,-0.06970207808157258,-0.07057058345318633,-0.06942884892221549,-0.07000498527749782,-0.06961949098213739,-0.06966419180275582,-0.06994974099567887,-0.07026698270980863,-0.06981600868374152,0.0004729674334327275,2
4,4.5027607679367065,0.0585529860719071,0.014230561256408692,0.0009229804262374309,logistic,"(10,)",constant,0.1,1000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (10,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 1000, 'momentum': 0.5, 'solver': 'sgd'}",-0.00492827114323642,-0.004740931073186184,-0.0048910096054537834,-0.004982837654000681,-0.00483186842541892,-0.004892771210514153,-0.0048356033364262375,-0.0048482835548092134,-0.004889394763237344,-0.004949454655104594,-0.004879042542138753,6.536578349963024e-05,6,-0.0027612823702586986,-0.0026407099155945665,-0.002748361082673766,-0.0027966439071962544,-0.002690443370494741,-0.0027388890722447917,-0.0026938912189430953,-0.0027195665221351165,-0.0027363583181142744,-0.002770123372896037,-0.002729626915055134,4.2936244591796155e-05,6,-0.029638521082710922,-0.030800527473120454,-0.027447789936612788,-0.02890806886193953,-0.031650141289433664,-0.030362186465260566,-0.030897254835293708,-0.029764282427513777,-0.029737791359209398,-0.03114934240001882,-0.03003559061311136,0.0011648798131697717,6,-0.04768886054170931,-0.04777485247586353,-0.04660585622108948,-0.047532760440222754,-0.0484825182337185,-0.04787863565218242,-0.04799328476657973,-0.04716769586949956,-0.047531151285432165,-0.048580646693175994,-0.047723626217947346,0.0005516268928191564,5,-0.07020164630004357,-0.068854419416521,-0.06993575341307037,-0.07058921768939419,-0.06951164237319472,-0.06994834673181456,-0.06953850254661972,-0.06962961693711386,-0.06992420727643142,-0.0703523606931892,-0.06984857133773927,0.0004686408171537081,6
5,4.496672105789185,0.03997081187294759,0.014248347282409668,0.00044309979008365775,logistic,"(10,)",constant,0.1,10000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (10,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 10000, 'momentum': 0.5, 'solver': 'sgd'}",-0.004928681171753201,-0.004744978713588377,-0.0048588182500933896,-0.004964866533305646,-0.0048399878112894935,-0.004930810704782823,-0.004866458106750926,-0.0048582258152688705,-0.004891557888417432,-0.005070582121961358,-0.004895496711721152,8.194232696575363e-05,11,-0.0027544089241208383,-0.0026548680095892768,-0.0027196604006661518,-0.0027788353275070296,-0.002693070220767285,-0.0027698674596483078,-0.002703091888321563,-0.0027224473881477217,-0.0027401944321011145,-0.0028164546279997485,-0.002735289867886904,4.445809438743895e-05,11,-0.031275954781057935,-0.02802974812604131,-0.030030195833351814,-0.031371480367439974,-0.032613629015683765,-0.02782656644138959,-0.03304754135589194,-0.03047868029223516,-0.028915739735953738,-0.03865820861447966,-0.031224774456352487,0.0029933728214647033,12,-0.04851263505285388,-0.04652839685216898,-0.0475913756277685,-0.048473003230345264,-0.04871772528275611,-0.04702232520139213,-0.049055053336399514,-0.047391945221670076,-0.047346405915352364,-0.05180846546232647,-0.04824473311830334,0.001417942651108725,12,-0.07020456660184721,-0.06888380588780194,-0.06970522397993847,-0.0704618090408247,-0.0695700209234516,-0.0702197315915037,-0.0697600036321023,-0.06970097427775936,-0.06993967320782556,-0.07120802006769573,-0.06996538292107506,0.0005847259430625754,11
6,4.5456657886505125,0.15539948210287952,0.014559793472290038,0.0006228042464408965,logistic,"(10,)",constant,0.05,1000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (10,), 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 1000, 'momentum': 0.5, 'solver': 'sgd'}",-0.004932873616868261,-0.004728174487039091,-0.004860584402058988,-0.004988995480879368,-0.004820086287654347,-0.004899993250309281,-0.004840163352039198,-0.0048977667013138364,-0.004879709927473083,-0.004942003061554668,-0.004879035056719011,6.915976854520932e-05,5,-0.0027563753987952786,-0.0026407657935843504,-0.0027168157642789644,-0.0027869794669134126,-0.002692810267080765,-0.0027446256093878523,-0.0026938229520756395,-0.0027313479270335166,-0.0027248533176146244,-0.0027729500734680786,-0.0027261346570232486,4.0875735777004114e-05,2,-0.03150942930937539,-0.02980046511550538,-0.03136288296369205,-0.03225776738361141,-0.029560332571891,-0.029710424160259763,-0.032018001442936594,-0.033139223905502835,-0.031865215977962436,-0.02927665386121725,-0.031050039669195412,0.0012827236616016478,10,-0.04863432191728506,-0.04699225332629727,-0.0480949863528508,-0.049148233139795154,-0.04740806739037256,-0.047619557814444095,-0.048416923677291224,-0.04910774984204217,-0.048278567092272726,-0.04769573530909899,-0.048139639586175,0.0006794570940490165,10,-0.07023441903275246,-0.06876172254269879,-0.06971789154914962,-0.0706328215554169,-0.06942684126225496,-0.06999995178790683,-0.06957128252403572,-0.0699840460484662,-0.0698549205673665,-0.07029938165840911,-0.06984832785284571,0.0004961379650766687,5
7,4.481850934028626,0.020210686380735924,0.014182257652282714,0.0006481363186893948,logistic,"(10,)",constant,0.05,10000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (10,), 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 10000, 'momentum': 0.5, 'solver': 'sgd'}",-0.004939037619612062,-0.004732771784823542,-0.004861678414267296,-0.004972015908152761,-0.00482450180178381,-0.0048908941371700295,-0.004834763553761507,-0.004870541279484539,-0.0048757446934355785,-0.004956619648153717,-0.004875856884064484,6.70937817111601e-05,3,-0.0027592061459529296,-0.0026430713152226564,-0.0027200722808436682,-0.0027863651291178087,-0.002696286777318433,-0.002740614391163823,-0.002693735746907111,-0.0027329990683971307,-0.002725396880740571,-0.0027864493639273764,-0.0027284197099591507,4.176274172302151e-05,4,-0.031378293498459164,-0.029425944272766236,-0.03046251757847296,-0.029884546650489785,-0.02925396768998778,-0.03020363949569571,-0.030268045308266323,-0.028506934891008306,-0.030235787959775606,-0.028108485875152356,-0.02977281632200742,0.0009204839652023594,1,-0.04864044731449238,-0.04698467848191639,-0.0477365589727031,-0.0480020473760907,-0.047282559722203035,-0.04754873257721684,-0.04794657253027752,-0.046928921323904645,-0.04795828857085946,-0.047172522758594786,-0.047620132962825884,0.0005120890105600983,2,-0.07027828697124071,-0.06879514361365592,-0.0697257371009249,-0.0705125230590479,-0.06945863374544456,-0.06993492787706318,-0.06953246402768642,-0.06978926335393244,-0.06982653287565965,-0.070403264470859,-0.06982567770955148,0.00048126548425075146,3
8,5.900468230247498,0.03105623697546223,0.023441100120544435,0.0007319396516589324,logistic,"(20,)",constant,0.1,1000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 1000, 'momentum': 0.5, 'solver': 'sgd'}",-0.004980151269010497,-0.0048107227836874916,-0.00486015101647178,-0.004982336426487902,-0.004819828178491664,-0.004903513281363363,-0.0048300010179875685,-0.004893079317834843,-0.004882612083189907,-0.004950175620969363,-0.004891257099549438,6.0170626416562706e-05,10,-0.0027725956682428596,-0.0026653760146347735,-0.0027196526145021756,-0.002787186435858808,-0.0026921654554192213,-0.0027406481505114046,-0.0026989403273174734,-0.0027507575007717365,-0.002731695786356101,-0.0027698251337421515,-0.002732884308735671,3.7167384692653355e-05,9,-0.03526773614122686,-0.03652280955252474,-0.030145880475708986,-0.030826947965982898,-0.029564734168057827,-0.030331589232741263,-0.02955817081679407,-0.027649491408868854,-0.0293806713449854,-0.03138092598035572,-0.03106289570872466,0.002607945084956018,11,-0.05006074885897955,-0.049963964590504346,-0.0476744208874153,-0.048589957146631564,-0.04740447046438546,-0.048339298051268534,-0.04704318366781553,-0.04652197659872091,-0.04761943022809518,-0.04868766432370281,-0.04819051148175192,0.00111276648746218,11,-0.07057018682850781,-0.06935937415870685,-0.06971478334235702,-0.07058566728796932,-0.0694249823802042,-0.07002509037026203,-0.06949820873941694,-0.06995054908887309,-0.06987569021619684,-0.07035748447016396,-0.06993620168826581,0.00042987552575731927,10
9,5.898623633384704,0.03251533766245558,0.024277806282043457,0.0010562742520013814,logistic,"(20,)",constant,0.1,10000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 10000, 'momentum': 0.5, 'solver': 'sgd'}",-0.00493220787768581,-0.004820663149376942,-0.004863417336112549,-0.004978749904449745,-0.00489797502991354,-0.004905163439116607,-0.004840375014285462,-0.004954336799105715,-0.0048908847524241576,-0.005169371475865824,-0.004925314477833635,9.361931538642894e-05,12,-0.0027641737137407765,-0.0027039244887011294,-0.002722207909005577,-0.0027930277612767647,-0.0027480098671199323,-0.00274017117818824,-0.002695227305858494,-0.0027540334435019265,-0.0027257222152630768,-0.0029169809335178494,-0.0027563478816173765,6.011123480849714e-05,12,-0.029411619092602703,-0.026953222235051866,-0.029482739717561768,-0.029060455357333037,-0.026774231170392182,-0.0314398697376731,-0.03141743507896688,-0.0373055689657914,-0.03221478074965878,-0.02427153205543514,-0.029833145416046685,0.0034070634413844525,3,-0.047565306781377395,-0.04620939544094559,-0.047578692571412104,-0.04766927520962585,-0.046621305562300576,-0.048546572790555534,-0.04814750023733352,-0.050540357853702735,-0.048971513808104154,-0.047306225684983765,-0.04791561459403412,0.001170929935670316,7,-0.07022967946449571,-0.06943099559546112,-0.06973820571331435,-0.07056025725895382,-0.06998553443329228,-0.07003687199694607,-0.06957280369717367,-0.07038704993893205,-0.0699348607807591,-0.0718983412594882,-0.07017746001388163,0.0006622566222237407,12
